STEM_Student_ID,NOTIONAL_NVQ_LEVEL_CODE,LEARNING_AIM_TYPE_DESC,PLP main qual type
00100115,3,Edexcel National Diploma (new syllabus),BTEC National Dip
00100127,3,Advanced VCE (Double Award),All other graded level 3 quals
00100526,5,Diploma,Level 4 and above
00200419,3,Edexcel National Certificate (new syllabus),BTEC National Certificate
00200428,3,Certificate,All other graded level 3 quals
00200477,3,National Diploma,BTEC National Dip
00200559,1,CG 7261,All other graded level 1 quals
00200637,3,National Diploma,BTEC National Dip
00300324,3,Edexcel National Certificate (new syllabus),BTEC National Certificate
00300366,2,GNVQ,NVQ Level 2
00300459,3,NVQ,NVQ Level 3
00300608,3,National Diploma,BTEC National Dip
00500111,3,Edexcel National Diploma (new syllabus),BTEC National Dip
00500251,X,Non Council funded studies,Level 4 and above
00500280,2,NVQ,NVQ Level 2
00500500,2,First Diploma,BTEC First Dip
00500704,X,Non Council funded studies,Level 4 and above
00501512,3,Edexcel National Diploma (new syllabus),BTEC National Dip
00501979,4,Diploma,Level 4 and above
00502458,2,Certificate,All other graded level 2 quals
00502696,2,GNVQ,NVQ Level 2
00502780,3,National Diploma,BTEC National Dip
00503232,X,Non Council funded studies,Level 4 and above
00503381,H,HNC,Level 4 and above
00503422,2,NVQ,NVQ Level 2
00503594,X,Non Council funded studies,All Other Non-graded Level 2 Quals
00503685,X,Schedule 2(j) course,Entry Level 3
00504636,3,National Certificate,BTEC National Certificate
00504672,3,Access to Higher Education Diploma (from 2007),Access to HE
00504730,4,Other,Level 4 and above
00505411,3,Edexcel National Certificate (new syllabus),BTEC National Certificate
00507220,2,Certificate,All other graded level 2 quals
00507552,H,HNC,Level 4 and above
00507632,2,National Certificate,BTEC National Certificate
00508255,2,Diploma,All other graded level 2 quals
00800541,X,Other,All Other Non-graded Level 2 Quals
00801163,X,Other,Unknown
00801379,3,Certificate,All other graded level 3 quals
00801577,3,Other,All other graded level 3 quals
01100075,2,NVQ,FDN Access
01100286,2,NVQ,NVQ Level 2
01100313,2,Other,All other graded level 2 quals
01100466,3,Access Certificate,Access to HE
01100487,2,NVQ,NVQ Level 2
01200242,3,Edexcel National Diploma (new syllabus),BTEC National Dip
01200622,3,Access Certificate,Access to HE
01300429,2,Diploma,All other graded level 2 quals
01300525,2,First Diploma,BTEC First Dip
01300583,3,Access to Higher Education Diploma (from 2007),Access to HE
01500250,4,HNC,Level 4 and above
01500595,3,Access Certificate,Access to HE
01500733,2,Certificate,Technical Certificate Level 2
01500775,X,Other,Unknown
01500781,2,Certificate,All other graded level 2 quals
01500808,2,Certificate,All other graded level 2 quals
01501239,2,Intermediate Award,All other graded level 2 quals
01501561,2,NVQ,NVQ Level 2
01501702,3,GCE AS level,A Levels
01501722,3,Access to Higher Education Diploma (from 2007),Access to HE
01501876,2,Certificate,All other graded level 2 quals
01501892,3,GCE AS level,A Levels
01502167,3,Edexcel National Certificate (new syllabus),BTEC National Certificate
01502198,4,HNC,Level 4 and above
01502400,3,Edexcel National Certificate (new syllabus),BTEC National Certificate
01502471,3,Advanced VCE (Double Award),All other graded level 3 quals
01503007,3,Edexcel National Certificate (new syllabus),BTEC National Certificate
01503251,2,Certificate,All other graded level 2 quals
01503370,2,NVQ,NVQ Level 2
01503494,E,Certificate,Entry Level 2
01503545,X,Non Council funded studies,Level 4 and above
01503840,2,NVQ,NVQ Level 2
01504138,3,Edexcel National Certificate (new syllabus),BTEC National Certificate
01504261,2,NVQ,Technical Certificate Level 3
01504609,4,NVQ,Level 4 and above
01504910,X,Non Council funded studies,Unknown
01505211,1,Certificate,All other graded level 1 quals
